CD,Year,Target_Presidential_R,Target_Presidential_D,Previous_Presidential_D,Previous_Presidential_R
FL-21,2020,41.2,58.2,58.6,39.1
FL-22,2020,42.3,57.2,56.8,41.0
FL-23,2020,41.2,58.3,61.9,35.8
FL-24,2020,24.0,75.4,82.9,15.4
FL-25,2020,61.2,38.2,47.9,49.7
FL-26,2020,52.5,46.9,56.8,40.5
FL-27,2020,48.1,51.3,58.5,38.9
GA-01,2020,55.5,43.1,40.9,56.4
GA-02,2020,43.4,55.7,55.0,43.3
GA-03,2020,62.0,36.8,32.8,64.3
GA-04,2020,20.2,78.8,75.3,22.2
GA-05,2020,12.7,86.2,85.0,11.9
GA-06,2020,43.7,54.8,46.8,48.3
GA-07,2020,46.1,52.4,44.8,51.1
GA-08,2020,62.0,37.0,34.4,63.3
GA-09,2020,76.4,22.4,19.3,77.8
GA-10,2020,59.6,39.2,35.8,61.3
GA-11,2020,56.9,41.5,35.3,60.3
GA-12,2020,55.8,43.0,40.7,56.9
GA-13,2020,23.4,75.6,71.0,26.6
GA-14,2020,73.4,25.3,22.1,75.0
HI-01,2020,34.5,63.8,63.1,30.5
HI-02,2020,34.1,63.6,61.4,29.6
IA-01,2020,50.8,47.4,45.2,48.7
IA-02,2020,51.1,47.1,45.0,49.1
IA-03,2020,49.1,49.0,45.0,48.5
IA-04,2020,62.7,35.7,33.5,60.9
